,Method,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,12.522484208972918,178.77372792542147,8.608339413876644,30.87896148823843,303.161771317854
1,Random Forest,18.490588470622747,186.51138011860957,8.485604646660246,25.274669643926195,307.1468170778821
2,Random Forest,22.507417968652117,126.76930204713695,8.735203508060293,26.927409958052564,181.76126601941
3,XGBoost,13.19910425401688,163.62704165080984,9.653184126822854,33.09662247368428,254.48567438449808
4,XGBoost,17.83712356295756,169.09024707417146,8.938450771854116,31.489545297322636,271.91010275782673
5,XGBoost,21.72696050051406,117.75808249925505,9.696913433089941,31.863346671287648,176.7412001025495
6,LightGBM,13.332773248426706,239.52849764937685,9.10294301695417,30.71825015007369,299.5518977656442
7,LightGBM,24.031015077827348,240.98083818443976,9.657518130242462,30.792779085908066,396.0588812366838
8,LightGBM,29.321849428235844,183.11588562968183,9.582694922397351,29.99578089366356,217.64349353762438
9,CatBoost,12.89641202175303,207.9156502174143,8.253952789998285,33.28742474613124,379.94362979807187
10,CatBoost,21.284976655147616,239.6627628247408,9.404367000696876,29.55452377804881,347.6793645574399
11,CatBoost,29.093463021553056,188.6042713813275,9.387520619342595,29.109026756257318,229.10106006548344
12,Extra Trees,12.476883026498522,187.46901158113667,8.949662768636015,32.527857104435576,300.66475981654224
13,Extra Trees,18.763778089328778,186.31470773271548,8.79068333404576,29.403762473575956,312.3637436326528
14,Extra Trees,24.495529173844385,124.4978430880504,8.94795934544486,32.38835208521164,193.86907950498772
15,Linear Regression,14.987666323382857,108.0290227904212,9.363190040000296,29.01333870811747,243.6159753737698
16,Linear Regression,16.522721088466238,106.66093279115327,7.198505889523044,25.12638169263465,281.91651810589025
17,Linear Regression,23.50502398797519,99.92776809589802,8.106255945131585,22.63744813701236,244.74122790127097
