,Method,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,16.644685249821055,213.61489479267294,8.916263679788376,28.640804779086498,373.2522223143201
1,Random Forest,7.341675631358672,119.88198116198451,9.471745652707083,26.68972819130096,180.8747180582855
2,Random Forest,17.08159889039063,128.2780844679054,9.633235501169679,29.252710936350827,180.23421307823887
3,XGBoost,14.64871651322224,172.0686789572864,8.850936731061045,30.28291817696287,257.59533414461896
4,XGBoost,9.264406702346243,118.84270126167871,10.120643544317366,33.56452421047084,139.235721886574
5,XGBoost,16.813979544731154,122.60703190845382,10.205872992559422,30.998874117046952,181.55211010107334
6,LightGBM,15.124105535623308,238.328614791916,9.282335409555511,31.336873670825664,331.3886932107287
7,LightGBM,9.920785100433086,194.82977878936452,10.32745786289007,28.61759919246327,233.87342342061578
8,LightGBM,24.65949857666039,223.5497479523442,9.939520349870481,30.524272002494047,244.56285932177937
9,CatBoost,17.678959730602802,242.9466997522451,10.004069798372889,31.140453154187547,366.7932891659001
10,CatBoost,8.19175931711171,190.36603036398412,9.970515177847368,31.398849146039503,327.4857069171267
11,CatBoost,24.211665264754107,208.69087628547607,10.095753668556462,33.192820943449924,261.0672300675933
12,Extra Trees,14.346463018325336,184.55185437327134,9.844278111949428,32.44806762707235,310.3930791353739
13,Extra Trees,8.213929153773961,114.5585392373317,10.375127185562649,32.274288497387374,200.0827318735919
14,Extra Trees,17.657379668476697,129.33373653795178,9.642369893160808,28.43128937167557,201.32496535504575
15,Linear Regression,13.092673252469268,103.60384020023267,10.553956313424084,28.087745474389614,231.84463620767727
16,Linear Regression,6.914234143506007,97.00164185076592,8.826661787980507,23.305281593149875,237.70481560870266
17,Linear Regression,17.458412411838477,99.5163087062409,9.228251813486864,24.26986603223116,237.75619199566793
