,Method,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,62.204700050585124,175.2077013971496,8.747487401480216,34.46995625422622,295.80874340965306
1,Random Forest,40.8789220714682,121.03516403395744,8.323429176464746,30.971668922920458,180.76263041854384
2,Random Forest,86.51619751845698,133.2055510691881,8.745108434903274,30.420242541099896,198.5202616322986
3,XGBoost,62.13571587464572,175.43087955236854,10.614322875493144,37.34121382333849,267.48442869309713
4,XGBoost,64.742657343317,118.99515434862974,10.139152410078466,35.04153492572427,150.39229416146824
5,XGBoost,86.69579964667693,140.9662964085426,10.262133945413956,40.83102175458595,194.98799124260103
6,LightGBM,62.7981145565508,178.88519899438043,10.979582740634903,36.928708200871654,265.8139768527626
7,LightGBM,51.21996443377314,116.37133804295229,9.909082502184415,36.37839855091177,129.8572055856277
8,LightGBM,84.87969973224035,149.71159899499065,11.04910851092174,37.44820803743291,155.80175110683447
9,CatBoost,62.24517015578767,197.6031786031871,11.314402442740297,34.729827641298584,273.7225066442019
10,CatBoost,42.95092345943371,158.13342175585075,10.978589868516842,26.084951945515403,253.54668687423677
11,CatBoost,78.14863323606987,136.01690683737615,10.122608944166704,34.08888272091504,155.18006639509784
12,Extra Trees,66.15667548210897,189.82710493018163,9.149543996984907,34.823696492982705,309.1981508219782
13,Extra Trees,44.49075610490847,129.53063708338877,8.594034429265687,28.06491515818021,187.92622066212843
14,Extra Trees,85.8217737321642,121.06428549231511,9.365640959099942,29.25413301689273,207.71279874504637
15,Linear Regression,55.72831003487414,106.592043076053,8.645775336387056,27.978572605279112,250.79698530609946
16,Linear Regression,37.02057104864067,95.79405893429266,10.817664607822984,23.48446106934815,216.4014068318135
17,Linear Regression,86.28808576481157,97.71600141212525,12.473606729739155,25.273871778963592,225.13443116240654
