,Method,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,13.32534185562774,180.9762203249103,9.21933139988462,28.98768997091295,300.2338870924672
1,Random Forest,6.9562333108692265,123.27190313684211,9.6290264941127,28.35050027150209,180.74065060501124
2,Random Forest,16.53363394998636,125.88609953748336,9.370971957313307,29.625491608394455,190.71771538602525
3,XGBoost,15.122112762499533,186.36123958826064,10.71772704727393,32.19624518737463,286.4960336214999
4,XGBoost,8.737360165519702,113.94692247850865,10.066348046148187,32.198160107325734,137.75788229501924
5,XGBoost,15.649445315168107,122.82786189982572,10.075245787111582,34.64482039739384,167.35665513916584
6,LightGBM,16.448586393984414,243.50951078740536,11.112875068586531,30.98632911229589,351.0412223493651
7,LightGBM,9.388973602114623,223.96722732777368,10.863893503078824,29.036638657487007,252.1600398290452
8,LightGBM,23.332985080567788,210.64215838333143,10.320408100452111,32.474603133947305,270.91551884830835
9,CatBoost,16.118435504840708,230.771457880228,9.367525377285821,32.13408181401926,371.9243777102653
10,CatBoost,7.6850070301162585,196.9539952595539,10.57792549700691,26.265445522811692,346.6853016806116
11,CatBoost,22.822462553257857,206.94982576026163,9.800792004383233,30.303811925020298,264.10470160705813
12,Extra Trees,14.220379176050535,186.78532918598185,9.691246088403853,29.792297289952423,310.142498000984
13,Extra Trees,6.714573120659851,123.79871012082236,9.677783464270911,27.232992827032383,179.09599217080282
14,Extra Trees,16.260620109161998,123.68755906772107,9.44842414661949,28.698634019029992,191.30778253676064
15,Linear Regression,13.410185563196627,103.40348316115966,10.58317017269677,28.000629444894223,231.02702934688392
16,Linear Regression,6.92537909439416,95.46140745841524,8.11083363927418,22.373667531059866,243.3157623340586
17,Linear Regression,16.922099727517747,98.90882268501527,8.774590306998114,23.658431345396938,243.57545148062988
