,Method,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,8.069290832959705,249.3580964921483,8.276928959997257,28.615760258571207,478.22755373671527
1,Random Forest,4.538592415991601,221.68193611694474,9.178021541784611,23.411832546654036,410.53007429042054
2,Random Forest,6.45259961937682,224.12508248909492,8.69889832836769,21.856673776574606,417.4809489703474
3,XGBoost,7.861023371854987,202.72025357959768,8.485927865671679,26.6334855877325,357.1030917998451
4,XGBoost,4.190787715272579,194.61405976703458,11.73852730410729,22.264948152089676,329.0776064644079
5,XGBoost,7.126559017048094,208.57399558246092,8.849938553529308,28.790826271508237,373.86828072175314
6,LightGBM,7.829297190219143,233.2712855507955,8.62965692896207,27.26063100651669,431.66106065887766
7,LightGBM,4.717232520661597,242.77843633468916,10.712867256949833,25.118753611661568,459.7272376862616
8,LightGBM,7.738690271499073,240.3517619174247,10.30202897547306,30.222977639816587,455.2362770281631
9,CatBoost,8.442543068490533,251.42478687931325,10.696560541449857,30.53044448398564,484.28798440841035
10,CatBoost,5.00964952713442,244.8014024802142,10.190908724046047,25.41815399475277,469.6249552891676
11,CatBoost,7.5183339938535285,233.59294126037884,10.908428836761162,24.178872235148848,439.86840951450273
12,Extra Trees,6.821287280812576,226.45964354758146,9.216757564776248,27.244393811074183,430.86386693742196
13,Extra Trees,4.594185911162889,225.33679845180887,9.799709528978708,31.43194905810288,428.2815934581789
14,Extra Trees,8.736507683249028,224.59897193350062,9.864923386545376,29.04297952492393,422.2275667177415
15,Linear Regression,7.430514806658112,121.7467395375715,12.086693315336444,34.0279087214881,287.45905896773326
16,Linear Regression,4.401598480685287,116.37930928370874,12.060862254320405,32.88778306223417,272.9050891085837
17,Linear Regression,5.3775881598531585,98.81619447054241,11.0630141357391,28.145772053117646,228.25539020808213
