,Method,RMSE_Score,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,,12.026262599409723,240.7492167673751,12.087946014032674,32.29936025684607,457.5784802447545
1,Random Forest,,21.57179746797289,239.6980603911089,10.232101354088131,30.80610501095516,444.5711546879133
2,Random Forest,,44.82324116234801,227.92466620392213,9.445255978379226,35.82891846435649,413.23924059514064
3,XGBoost,,12.98012025862977,183.95907287679097,10.524869801362497,41.981087929971835,291.9338156023223
4,XGBoost,,22.432991792306687,231.081733899679,10.018385185707995,32.57868119101249,441.406760823982
5,XGBoost,,49.3835146059585,201.82037567152045,11.510899333131894,51.43929670936435,348.1408219575952
6,LightGBM,,11.641638338843677,245.50351288866736,9.850308969296067,39.141028632855,455.83959285385964
7,LightGBM,,23.57595096394123,234.1131741482091,10.616681802367102,42.635569148889914,433.64692812899045
8,LightGBM,,48.46875243507196,215.47937700227158,9.572033573352702,40.55283987300192,361.3051996154369
9,ExtraTrees,,14.13372370778996,239.02624836781547,8.459329796173249,32.270394695006836,450.7338853760803
10,ExtraTrees,,19.615135529435967,224.83569747872204,7.031574604871237,25.97414919253165,409.14359545911833
11,ExtraTrees,,43.743138037448865,222.18112770055293,6.055399922340621,25.691937440164736,413.5020316714074
12,Linear Regression,,19.172376848182143,362.4584476058864,28.452645312860806,78.77448501291633,626.0794436652061
13,Linear Regression,,17.806207212027864,241.63990288381845,18.21032323148687,52.19616683466014,473.85145484851904
14,Linear Regression,,44.93513250607454,239.74911747611176,18.568146526554393,52.9812152447201,472.62957033106943
