,Method,RMSE_Score,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,,51.20723517412681,281.7398462172445,15.28978090210263,51.39736700686434,542.918736455677
1,Random Forest,,14.51119378887457,242.8427047628199,11.837544651678595,42.76823802102377,440.3870436517659
2,Random Forest,,36.85379051202047,231.54599591712613,11.584708960643136,39.881221574518534,424.40975549800737
3,XGBoost,,51.38245079595803,291.060735636783,16.759836854321385,57.68179134855575,563.3093215558533
4,XGBoost,,18.989538781003095,228.66062860879418,18.022924832626064,63.72047267743969,402.4349009261536
5,XGBoost,,41.686009647206234,238.4731393576957,14.372657906393378,56.92097589701867,470.8039043289054
6,LightGBM,,51.01311697104846,284.46043741396426,14.959009931593782,52.8178746169312,549.5084913991083
7,LightGBM,,21.219839493160578,240.5743834602636,15.669917715998226,50.08852035057602,434.31592844016564
8,LightGBM,,40.93179136128257,252.72104382939168,17.273453976666822,51.91611379550956,487.2105790391776
9,ExtraTrees,,51.99250762172223,282.8017911151861,12.110789332307297,50.47304402002688,543.027512508932
10,ExtraTrees,,16.236956075710705,228.2659891388917,8.485369463654253,34.85914430736982,416.8856725570051
11,ExtraTrees,,38.05726255562543,226.66796936041882,11.365120516550993,35.10229708487636,413.2293801293192
12,Linear Regression,,37.580451604978876,185.40167052767995,8.496932931119035,35.7985757811981,425.6719445647026
13,Linear Regression,,11.353796995405707,273.28859785152724,23.250736484726094,61.65661439646925,513.9938357926546
14,Linear Regression,,51.715294008256514,254.23014969952197,20.45928405059896,56.645252280990434,493.4430276149382
