,Method,RMSE_Score,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,,58.59492331829345,261.1857406545245,12.332992304947066,36.700665082790984,503.57323151761216
1,Random Forest,,60.29979973457759,243.52793256874875,22.12083611053008,30.243184317310305,461.2074800293957
2,Random Forest,,87.5673575506824,237.517840678176,10.439805516780277,35.31887502900063,445.39420957966485
3,XGBoost,,59.523276824673786,272.3959683242312,10.662857782195223,50.14318682975654,520.8929607236012
4,XGBoost,,60.11206506075646,250.01445830236162,28.004937241857203,57.53094855454525,466.90537576086103
5,XGBoost,,104.86445472012198,234.40940622507264,10.807298172090245,37.21591188197645,437.45652195988515
6,LightGBM,,63.781727860456684,267.9151950788462,6.050011874269812,37.753616650958,512.5391837596243
7,LightGBM,,57.64069059280853,253.31599007874107,14.643864635172024,43.77254368626635,473.88292639658266
8,LightGBM,,132.1727766091557,218.20698690392572,19.03758089884508,53.82448085434697,387.06003224657167
9,ExtraTrees,,68.699403190424,252.30898149767322,11.362359404766245,27.020341007387746,479.63157753547785
10,ExtraTrees,,61.827219798726844,228.04108998693832,11.508049215718515,25.727361728716655,419.34053712790336
11,ExtraTrees,,99.09720453804954,215.02719723412596,6.965180078363741,27.588826973476646,386.8644691945042
12,Linear Regression,,128.89797542765118,149.0196080903022,7.335043173644586,28.343616697042236,368.3914722615086
13,Linear Regression,,55.323558127624715,239.00472252068798,36.460288927859466,67.63370545446844,470.58189095362286
14,Linear Regression,,131.15797479514205,235.70125250646998,36.32694537960894,66.90897148920162,465.9793379634399
