,Method,RMSE_Score,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,,17.08673821204885,253.26142741804156,11.98401296226592,46.91596275079896,472.220617753169
1,Random Forest,,4.1135338274150195,243.21248676474005,9.082267224201168,30.841297536760468,442.5436006787541
2,Random Forest,,31.985423465633623,240.2343688858981,12.371092186316437,43.32604793138387,438.88424579923446
3,XGBoost,,17.786427302168015,222.26861218518664,19.559925081435956,63.8261166249608,372.4352778536408
4,XGBoost,,3.7999991867876366,180.65355865962442,18.227264273769222,59.72561350418257,247.98573721915182
5,XGBoost,,38.24816560743972,215.48536601680775,16.985982282983038,58.140884585064924,371.1193144605584
6,LightGBM,,18.487053028379233,252.01524039045384,15.681580380438294,49.28274120142839,484.54766648221306
7,LightGBM,,3.8698617695843507,241.40994797882337,16.757743291310476,56.044583113719725,458.2040152711009
8,LightGBM,,38.921610087091125,217.51793858240956,24.610083091017778,60.09482970380664,386.11581620007655
9,ExtraTrees,,18.163395301070047,240.06393087165932,10.806208177001416,38.099536429700656,448.91358951603644
10,ExtraTrees,,4.439371335665784,213.43487895495426,7.5212936895767335,26.799503597823442,386.5561959820512
11,ExtraTrees,,31.750626069687513,223.04935820094138,11.01607626217514,33.331413658490455,399.46326617360626
12,Linear Regression,,18.71210660971487,387.7049616931322,30.21546450246305,84.77616610899645,658.3628590833569
13,Linear Regression,,5.248628154131315,260.00425452789443,20.6359686238051,57.4834101357778,497.1945569611788
14,Linear Regression,,43.80658136566177,254.21495679512853,19.944394312428024,56.6411713478559,491.92473744021146
