,Method,RMSE_Score,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,,267.939969466809,249.23897867013144,69.2078155030822,45.086317298830764,471.87663341394
1,Random Forest,,28.28338822800719,228.4175317347311,8.861116445316018,24.8961113399028,424.54636966214645
2,Random Forest,,23.320930545307355,236.33131059199235,10.767297445624644,30.52906363502666,440.6059169644666
3,XGBoost,,250.8048176579515,246.88724007639826,74.92231855275743,67.4369783130061,445.57947346723523
4,XGBoost,,30.217098360931093,258.13080984036435,20.74908665943326,19.58478518368634,485.6790213251601
5,XGBoost,,24.289147109806112,271.4041296888394,16.210189613652663,47.73813194416513,490.79983648372007
6,LightGBM,,251.95891380756527,250.21105652572186,56.482607738854526,47.80411006643298,454.6414005711644
7,LightGBM,,28.695541497445088,256.9480880266619,14.749860440660019,33.31032603199443,477.0431488610138
8,LightGBM,,26.074667898156747,245.89292492623701,10.534807492468975,34.127640273760186,450.0336801891703
9,ExtraTrees,,265.39700580705494,241.77426577123856,57.77792129531485,39.056645795840886,462.51281394146025
10,ExtraTrees,,26.413695795535702,221.01196963842645,7.951333330336221,26.335943125749914,403.7485503038725
11,ExtraTrees,,23.79262850160332,200.0825835242206,7.624584989612157,28.573324081324234,372.07023922655924
12,Linear Regression,,193.37964544902852,235.06537873205102,31.56116995231406,34.79229933209509,470.46901100927874
13,Linear Regression,,71.12922596043863,411.89326314015176,45.296942758307914,101.37871511173934,685.874614613797
14,Linear Regression,,62.91007090174768,395.7374777320222,49.27533253034641,102.42378716393628,664.8458596827257
