DATA,L17055-72-00002
2009-01-14 12:30:00,13.778
2009-01-14 13:00:00,13.909
2009-01-14 13:30:00,14.682
2009-01-14 14:00:00,15.318
2009-01-14 14:30:00,15.7
2009-01-14 15:00:00,15.96
2009-01-14 15:30:00,16.09
2009-01-14 16:00:00,16.09
2009-01-14 16:30:00,15.7
2009-01-14 17:00:00,15.064
2009-01-14 17:30:00,14.682
2009-01-14 18:00:00,14.3
2009-01-14 18:30:00,13.909
2009-01-14 19:00:00,13.778
2009-01-14 19:30:00,13.778
2009-01-15 14:00:00,13.909
2009-01-15 14:30:00,14.3
2009-01-15 15:00:00,14.555
2009-01-15 15:30:00,14.682
2009-01-15 16:00:00,14.555
2009-01-15 16:30:00,14.17
2009-01-15 17:00:00,13.778
2009-01-15 17:30:00,13.518
2009-01-16 13:00:00,13.518
2009-01-16 13:30:00,13.909
2009-01-16 14:00:00,14.3
2009-01-16 14:30:00,14.555
2009-01-16 15:00:00,14.555
2009-01-16 15:30:00,14.3
2009-01-16 16:00:00,13.909
2009-01-16 16:30:00,13.778
2009-01-16 17:00:00,13.518
2009-01-17 14:00:00,13.909
2009-01-17 14:30:00,13.909
2009-01-17 15:00:00,14.17
2009-01-17 15:30:00,14.17
2009-01-17 16:00:00,14.17
2009-01-17 16:30:00,13.778
2009-01-18 14:30:00,13.778
2009-01-18 15:00:00,13.778
2009-01-18 15:30:00,13.778
2009-01-18 16:00:00,13.778
2009-01-19 14:00:00,13.778
2009-01-19 14:30:00,14.17
2009-01-19 15:00:00,14.17
2009-01-19 15:30:00,13.909
2009-01-19 16:00:00,13.778
2009-01-27 15:30:00,13.518
2009-01-27 16:00:00,13.518
2009-01-31 17:00:00,13.778
2009-01-31 17:30:00,13.778
2009-01-31 18:00:00,13.909
2009-01-31 18:30:00,13.909
2009-01-31 19:00:00,14.17
2009-01-31 19:30:00,14.682
2009-01-31 20:00:00,15.318
2009-01-31 21:00:00,19.633
2009-01-31 21:30:00,20.427
2009-01-31 22:00:00,21.44
2009-02-01 10:30:00,42.2
2009-02-01 11:00:00,51.32
2009-02-01 11:30:00,58.05
2009-02-01 12:00:00,62.895
2009-02-01 12:30:00,66.21
2009-02-01 13:00:00,69.27
2009-02-01 13:30:00,73.35
2009-02-01 14:00:00,75.39
2009-02-01 14:30:00,75.39
2009-02-01 15:00:00,74.115
2009-02-01 15:30:00,72.84
2009-02-01 16:00:00,71.82
2009-02-01 16:30:00,71.31
2009-02-01 17:00:00,70.035
2009-02-01 17:30:00,68.505
2009-02-01 18:00:00,67.23
2009-02-01 18:30:00,66.21
2009-02-01 19:00:00,65.7
2009-02-01 19:30:00,64.425
2009-02-01 20:00:00,63.405
2009-02-01 20:30:00,62.13
2009-02-01 21:00:00,60.855
2009-02-02 06:30:00,44.1
2009-02-02 07:00:00,42.2
2009-02-02 07:30:00,41.06
2009-02-02 08:00:00,39.92
2009-02-02 08:30:00,38.78
2009-02-02 09:00:00,36.88
2009-02-02 09:30:00,37.64
2009-02-02 10:00:00,36.5
2009-02-02 10:30:00,36.5
2009-02-02 11:00:00,36.24
2009-02-02 11:30:00,35.98
2009-02-02 12:00:00,36.24
2009-02-02 12:30:00,36.24
2009-02-02 13:00:00,36.24
2009-02-02 13:30:00,36.5
2009-02-02 14:00:00,36.24
2009-02-02 14:30:00,36.24
2009-02-02 15:00:00,35.98
2009-02-02 15:30:00,35.59
2009-02-02 16:00:00,35.59
2009-02-02 16:30:00,35.2
2009-02-02 17:00:00,35.07
2009-02-02 17:30:00,34.55
2009-02-02 18:00:00,34.16
2009-02-02 18:30:00,34.03
2009-02-02 19:00:00,33.64
2009-02-02 19:30:00,33.38
2009-02-02 20:00:00,33.25
2009-02-02 20:30:00,32.73
2009-02-02 21:00:00,32.6
2009-02-02 21:30:00,32.21
2009-02-02 22:00:00,31.95
2009-02-02 22:30:00,31.56
2009-02-02 23:00:00,31.3
2009-02-02 23:30:00,31.17
2009-02-03 00:00:00,30.91
2009-02-03 00:30:00,30.78
2009-02-03 01:00:00,30.52
2009-02-03 01:30:00,30.39
2009-02-03 02:00:00,29.09
2009-02-03 02:30:00,26.49
2009-02-03 03:00:00,27.53
2009-02-03 03:30:00,28.7
2009-02-03 04:00:00,32.34
2009-02-03 04:30:00,32.34
2009-02-03 05:00:00,31.3
2009-02-03 05:30:00,30.78
2009-02-03 06:00:00,30.52
2009-02-03 06:30:00,30.52
2009-02-03 07:00:00,30.91
2009-02-03 07:30:00,31.82
2009-02-03 08:00:00,32.34
2009-02-03 08:30:00,32.99
2009-02-03 09:00:00,32.73
2009-02-03 09:30:00,33.25
2009-02-03 10:00:00,29.74
2009-02-03 10:30:00,26.23
2009-02-03 11:00:00,26.88
2009-02-03 11:30:00,27.66
2009-02-03 12:00:00,29.09
2009-02-03 12:30:00,30.91
2009-02-03 13:00:00,32.73
2009-02-03 13:30:00,34.16
2009-02-03 14:00:00,35.59
2009-02-03 14:30:00,36.88
2009-02-03 15:00:00,37.64
2009-02-03 15:30:00,38.78
2009-02-03 16:00:00,39.16
2009-02-03 16:30:00,41.06
2009-02-03 17:00:00,45.24
2009-02-03 17:30:00,52.46
2009-02-03 18:00:00,58.56
2009-02-03 18:30:00,64.17
2009-02-04 01:30:00,44.48
2009-02-04 02:00:00,68.25
2009-02-04 02:30:00,16.09
2009-02-04 11:00:00,35.59
2009-02-04 11:30:00,35.46
2009-02-04 12:00:00,35.46
2009-02-04 12:30:00,35.07
2009-02-04 13:00:00,35.07
2009-02-04 13:30:00,34.81
2009-02-04 14:00:00,26.1
2009-02-04 14:30:00,25.71
2009-02-04 15:00:00,25.71
2009-02-04 16:00:00,25.32
2009-02-04 16:30:00,24.67
2009-02-04 17:00:00,23.89
2009-02-04 17:30:00,23.24
2009-02-04 18:00:00,22.59
2009-02-04 18:30:00,22.073
2009-02-04 19:00:00,21.567
2009-02-04 19:30:00,21.06
2009-02-04 20:00:00,20.807
2009-02-04 20:30:00,20.427
2009-02-04 21:00:00,20.3
2009-02-04 21:30:00,20.033
2009-02-04 22:00:00,19.633
2009-02-04 22:30:00,19.367
2009-02-04 23:00:00,18.967
2009-02-04 23:30:00,18.567
2009-02-05 00:00:00,18.3
2009-02-05 00:30:00,17.91
2009-02-05 01:00:00,17.78
2009-02-05 08:00:00,14.555
2009-02-05 08:30:00,14.3
2009-02-05 09:00:00,14.3
2009-02-05 10:00:00,14.3
2009-02-05 10:30:00,14.17
2009-02-05 11:00:00,14.17
2009-02-05 11:30:00,14.17
2009-02-05 12:00:00,14.17
2009-02-05 12:30:00,14.3
2009-02-05 13:00:00,13.518
2009-02-05 14:00:00,13.518
2009-02-05 14:30:00,14.936
2009-02-05 15:00:00,14.682
2009-02-05 15:30:00,13.909
2009-02-05 16:00:00,13.518
2009-02-18 13:30:00,13.778
2009-02-18 14:00:00,13.909
2009-02-18 14:30:00,14.17
2009-02-18 15:00:00,14.555
2009-02-18 15:30:00,14.555
2009-02-18 16:00:00,14.682
2009-02-18 16:30:00,14.555
2009-02-18 17:00:00,13.909
2009-02-18 17:30:00,13.518
2009-02-23 14:00:00,13.518
2009-02-23 14:30:00,13.518
2009-02-23 15:00:00,13.778
2009-02-23 15:30:00,13.778
2009-02-23 16:00:00,13.778
2009-02-24 15:00:00,13.518
2009-02-24 15:30:00,13.778
2009-02-24 16:00:00,13.518
2009-02-27 16:00:00,13.518
2009-02-27 16:30:00,13.778
2009-03-09 15:30:00,14.3
2009-03-09 16:00:00,14.17
2009-03-09 16:30:00,14.3
2009-03-09 17:00:00,14.17
2009-03-09 17:30:00,13.909
2009-03-09 18:00:00,13.909
2009-03-09 18:30:00,13.909
2009-03-09 19:00:00,13.909
2009-03-10 11:30:00,14.3
2009-03-10 12:00:00,14.682
2009-03-10 12:30:00,15.064
2009-03-10 13:00:00,15.318
2009-03-10 13:30:00,15.573
2009-03-10 14:00:00,15.7
2009-03-10 14:30:00,15.96
2009-03-10 15:00:00,16.09
2009-03-10 15:30:00,16.35
2009-03-10 16:00:00,16.09
2009-03-10 16:30:00,16.35
2009-03-10 17:00:00,16.09
2009-03-10 17:30:00,15.96
2009-03-10 18:00:00,15.573
2009-03-10 18:30:00,15.318
2009-03-10 19:00:00,15.064
2009-03-10 19:30:00,14.936
2009-03-10 20:00:00,14.555
2009-03-10 20:30:00,14.555
2009-03-10 21:00:00,14.3
2009-03-10 21:30:00,14.17
2009-03-10 22:00:00,14.17
2009-03-10 22:30:00,14.17
2009-03-10 23:00:00,14.17
2009-03-10 23:30:00,14.17
2009-03-11 00:00:00,13.909
